title,Unnamed: 0,score_phrase,url,platform,score,genre,editors_choice,release_year,release_month,release_day
The Legend of Zelda: Ocarina of Time,1058,Masterpiece,/games/the-legend-of-zelda-ocarina-of-time/n64-437,Nintendo 64,10.0,"Action, Adventure",Y,1998,11,25
Pokemon Blue Version,1287,Masterpiece,/games/pokemon-blue-version/gb-16708,Game Boy,10.0,RPG,Y,1999,6,23
Pokemon Red Version,1289,Masterpiece,/games/pokemon-red-version/gb-9846,Game Boy,10.0,RPG,Y,1999,6,23
Joust,1354,Masterpiece,/games/defenderjoust/lynx-4146,Lynx,10.0,Action,N,1999,7,6
Shanghai,1363,Masterpiece,/games/shanghai-809520/lynx-5876,Lynx,10.0,Puzzle,N,1999,7,6
Checkered Flag,1408,Masterpiece,/games/checkered-flag/lynx-4136,Lynx,10.0,Racing,N,1999,7,6
Super Mario Bros. Deluxe,1434,Masterpiece,/games/super-mario-bros-deluxe/gbc-11703,Game Boy Color,10.0,Platformer,Y,1999,7,21
Soulcalibur,1457,Masterpiece,/games/soulcalibur/dc-10953,Dreamcast,10.0,Fighting,Y,1999,9,20
The Legend of Zelda: Link's Awakening DX,1461,Masterpiece,/games/the-legend-of-zelda-links-awakening/gbc-10683,Game Boy Color,10.0,"Action, Adventure",Y,1999,9,17
Mario Golf [Game Boy Color],1592,Masterpiece,/games/mario-golf-gb/gbc-12206,Game Boy Color,10.0,"Sports, Action",Y,1999,10,5
Pokemon Yellow: Special Pikachu Edition,1672,Masterpiece,/games/pokemon-yellow-special-pikachu-edition/gb-12045,Game Boy,10.0,RPG,N,1999,10,19
Sonic The Hedgehog: Pocket Adventure,1794,Masterpiece,/games/sonic-the-hedgehog-pocket-adventure/ngpc-12670,NeoGeo Pocket Color,10.0,Platformer,N,1999,12,7
SNK vs. Capcom: Match of the Millennium,1927,Masterpiece,/games/snk-vs-capcom-match-of-the-millennium/ngpc-12975,NeoGeo Pocket Color,10.0,Fighting,Y,2000,1,4
Magical Tetris Challenge,2008,Masterpiece,/games/magical-tetris-adventure-featuring-mickey-mouse/gbc-12229,Game Boy Color,10.0,"Puzzle, Adventure",Y,2000,2,28
Metal Gear Solid [2000],2174,Masterpiece,/games/metal-gear-solid-gb/gbc-13458,Game Boy Color,10.0,"Action, Adventure",Y,2000,5,5
Pokemon Gold Version,2567,Masterpiece,/games/pokemon-gold-version/gbc-12865,Game Boy Color,10.0,RPG,Y,2000,10,16
Pokemon Silver Version,2616,Masterpiece,/games/pokemon-silver-version/gbc-16709,Game Boy Color,10.0,RPG,Y,2000,10,16
The Legend of Zelda: Oracle of Ages,3079,Masterpiece,/games/the-legend-of-zelda-oracle-of-ages/gbc-16041,Game Boy Color,10.0,"Action, Adventure",Y,2001,5,14
The Legend of Zelda: Oracle of Seasons,3080,Masterpiece,/games/the-legend-of-zelda-oracle-of-seasons/gbc-16042,Game Boy Color,10.0,"Action, Adventure",Y,2001,5,14
Dragon Warrior III,3236,Masterpiece,/games/dragon-quest-iii/gbc-16206,Game Boy Color,10.0,RPG,Y,2001,7,20
Tornado Mania,8640,Masterpiece,/games/tornado-mania/cell-866280,Wireless,10.0,Puzzle,Y,2006,12,8
The Legend of Zelda: Ocarina of Time,8981,Masterpiece,/games/the-legend-of-zelda-ocarina-of-time/wii-865246,Wii,10.0,"Action, Adventure",Y,2007,2,26
Grand Theft Auto IV (Special Edition),10836,Masterpiece,/games/grand-theft-auto-iv/xbox-360-907969,Xbox 360,10.0,Action,Y,2008,4,29
Grand Theft Auto IV (Special Edition),10838,Masterpiece,/games/grand-theft-auto-iv/ps3-907970,PlayStation 3,10.0,Action,Y,2008,4,29
Grand Theft Auto IV,10874,Masterpiece,/games/grand-theft-auto-iv/xbox-360-827005,Xbox 360,10.0,"Action, Adventure",Y,2008,4,25
Grand Theft Auto IV,10901,Masterpiece,/games/grand-theft-auto-iv/ps3-793799,PlayStation 3,10.0,"Action, Adventure",Y,2008,4,25
