title,Unnamed: 0,score_phrase,url,platform,score,genre,editors_choice,release_year,release_month,release_day
Revolution X,439,Unbearable,/games/revolution-x/ps-689,PlayStation,1.0,Action,N,1996,11,25
Revolution X,496,Unbearable,/games/revolution-x/ps-689,PlayStation,1.0,Action,N,1996,11,25
The Crow: City of Angels,574,Unbearable,/games/the-crow-city-of-angels/ps-738,PlayStation,1.0,Action,N,1997,3,11
Fantastic Four,770,Unbearable,/games/fantastic-four/ps-2051,PlayStation,1.0,Action,N,1997,8,29
C: The Contra Adventure,848,Unbearable,/games/c-the-contra-adventure/ps-3773,PlayStation,1.0,Action,N,1998,9,16
Extreme PaintBrawl,890,Disaster,/games/extreme-paintbrawl/pc-10455,PC,0.7,Action,N,1998,10,29
Deep Sea Trophy Fishing,978,Unbearable,/games/deep-sea-trophy-fishing/pc-10224,PC,1.8,Hunting,N,1998,9,28
Rush Down,1154,Unbearable,/games/rush-down/ps-11218,PlayStation,1.5,Sports,N,1999,3,9
Notepad,1175,Unbearable,/games/notepad/pc-11451,PC,1.5,Productivity,N,1999,4,1
Freestyle Boardin' '99,1190,Unbearable,/games/freestyle-boardin-99-142173/ps-10373,PlayStation,1.0,Sports,N,1999,3,23
Extreme Bullrider,1235,Unbearable,/games/extreme-bullrider/pc-11609,PC,1.5,Sports,N,1999,5,4
Extreme Watersports,1276,Unbearable,/games/extreme-watersports/pc-11834,PC,1.0,Sports,N,1999,5,26
Extreme Boards & Blades,1333,Unbearable,/games/extreme-boards-blades/pc-11833,PC,1.5,Sports,N,1999,6,9
Swamp Buggy Racing,2067,Unbearable,/games/swamp-buggy-racing/pc-14234,PC,1.9,Racing,N,2000,3,7
Panty Raider: From Here to Immaturity,2288,Unbearable,/games/panty-raider-from-here-to-immaturity/pc-14066,PC,1.5,Puzzle,N,2000,6,2
Kawasaki ATV Powersports,2334,Unbearable,/games/kawasaki-atv-powersports/pc-15017,PC,1.0,Racing,N,2000,6,22
Carmageddon 64,2373,Unbearable,/games/carmageddon-64/n64-10078,Nintendo 64,1.3,Racing,N,2000,7,28
ESPN NBA 2Night,2996,Unbearable,/games/espn-nba-2night/dc-13922,Dreamcast,1.0,Sports,N,2001,1,30
The Simpsons Wrestling,3074,Unbearable,/games/the-simpsons-wrestling/ps-15035,PlayStation,1.0,Action,N,2001,4,6
American Hunting Volume 1: Varmint Hunter,3713,Unbearable,/games/varmint-hunter/pc-478739,PC,1.2,Hunting,N,2002,3,5
Muscle Car 2: American Spirit,3789,Unbearable,/games/muscle-car-2-american-spirit/pc-482643,PC,1.5,Racing,N,2002,6,6
Crime Patrol 2: Drug Wars,4026,Unbearable,/games/crime-patrol-2-drug-wars/dvd-487400,DVD / HD Video Game,1.0,Shooter,N,2002,7,24
NFL Blitz 20-03,4037,Unbearable,/games/nfl-blitz-20-03/gba-481483,Game Boy Advance,1.0,"Sports, Action",N,2002,8,13
Nickelodeon Party Blast,4164,Unbearable,/games/nickelodeon-party-blast/xbox-481306,Xbox,1.1,Party,N,2002,10,21
Bikini Karate Babes,4194,Unbearable,/games/bikini-karate-babes/pc-487785,PC,1.5,Fighting,N,2002,10,8
Pulse Racer,4507,Unbearable,/games/pulse-racer/xbox-494040,Xbox,1.9,Racing,N,2002,12,13
Beyblade: Let it Rip,4570,Unbearable,/games/beyblade-let-it-rip/ps-496331,PlayStation,1.5,Battle,N,2002,12,20
Fury of The Hulk,4944,Unbearable,/games/fury-of-the-hulk/cell-570007,Wireless,1.0,Puzzle,N,2003,7,14
